City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Longyearbyen,SJ,78.2186,15.6401,17.44,62,0,14.97,clear sky
139,Rumonge,BI,-3.9736,29.4386,71.96,77,97,4.99,overcast clouds
140,Katsuura,JP,35.1333,140.3,68.02,98,100,18.14,light rain
141,Huntingdon,GB,52.3305,-0.1865,50.94,87,100,5.01,overcast clouds
142,Puerto Escondido,MX,15.85,-97.0667,82.87,73,6,4.94,clear sky
143,Valkeakoski,FI,61.2642,24.0312,50.09,77,14,9.08,few clouds
144,Karaidel,RU,55.8337,56.9069,46.49,73,100,9.8,overcast clouds
145,Mount Gambier,AU,-37.8333,140.7667,67.69,60,84,5.59,broken clouds
146,Svetlyy,RU,54.675,20.1347,53.65,78,67,14.5,broken clouds
147,Avera,US,33.194,-82.5271,68.05,95,16,8.77,few clouds
148,Kirakira,SB,-10.4544,161.9205,83.32,74,42,4.03,scattered clouds
149,Loucovice,CZ,48.6202,14.2575,58.59,94,100,10.2,light rain
150,Mo I Rana,NO,66.3128,14.1428,42.33,93,75,5.01,broken clouds
151,Megion,RU,61.0296,76.1136,66.22,46,40,4.7,scattered clouds
152,Puerto Ayora,EC,-0.7393,-90.3518,72.55,96,33,6.96,scattered clouds
153,Salamanca,ES,40.8333,-6.0,49.78,59,34,2.95,scattered clouds
154,Saldanha,ZA,-33.0117,17.9442,53.65,89,7,6.82,clear sky
155,Ngatea,NZ,-37.2833,175.5,59.04,68,40,2.8,scattered clouds
156,Djougou,BJ,9.7085,1.666,75.36,84,96,4.65,overcast clouds
157,Norman Wells,CA,65.282,-126.8329,53.64,37,75,2.3,broken clouds
158,Tocopilla,CL,-22.092,-70.1979,62.44,71,2,3.56,clear sky
159,Lasa,IT,46.6166,10.7002,58.08,92,69,3.83,broken clouds
160,Bucerias,MX,20.75,-105.3333,80.98,83,40,0.0,scattered clouds
161,Grindavik,IS,63.8424,-22.4338,34.27,75,20,14.97,few clouds
162,Yulara,AU,-25.2406,130.9889,84.45,22,37,16.98,scattered clouds
163,Samarai,PG,-10.6167,150.6667,85.46,72,91,10.67,overcast clouds
164,Gao,ML,16.6362,1.637,82.31,8,7,5.48,clear sky
165,Port Alfred,ZA,-33.5906,26.891,58.01,81,3,10.27,clear sky
166,Corinto,GR,37.9407,22.9573,65.89,65,100,3.29,overcast clouds
167,Mazamari,PE,-11.3258,-74.5308,68.04,98,66,1.54,broken clouds
168,Manta,EC,-0.95,-80.7333,74.98,88,100,6.91,overcast clouds
169,Upernavik,GL,72.7868,-56.1549,4.28,91,53,4.92,broken clouds
170,Port Lincoln,AU,-34.7333,135.8667,65.53,59,100,11.61,overcast clouds
171,Muros,ES,42.7762,-9.0603,55.09,88,90,6.06,overcast clouds
172,Lamar,US,33.6668,-95.5836,74.64,83,0,6.91,clear sky
173,Haines Junction,CA,60.7522,-137.5108,33.3,93,9,3.83,clear sky
174,Ponta Do Sol,PT,32.6667,-17.1,68.0,82,99,1.16,overcast clouds
